"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C1","CAPC1608N","484.252mil","586.614mil","484.252mil","586.614mil","515.748mil","586.614mil","T","180.00","100nF"
"C2","CAPC1608N","759.842mil","925.197mil","759.842mil","925.197mil","759.842mil","956.693mil","T","270.00","100nF"
"C3","CAPC1608N","606.299mil","1263.78mil","606.299mil","1263.78mil","574.803mil","1263.78mil","T","0.00","100nF"
"C4","CAPC1608N","606.299mil","1200.787mil","606.299mil","1200.787mil","574.803mil","1200.787mil","T","0.00","100nF"
"C5","CAPC1608N","129.921mil","818.898mil","129.921mil","818.898mil","129.921mil","850.394mil","T","270.00","100nF"
"C6","CAPC1608N","759.842mil","799.213mil","759.842mil","799.213mil","759.842mil","767.717mil","T","90.00","100nF"
"C7","CAPC1608N","535.433mil","1326.772mil","535.433mil","1326.772mil","503.937mil","1326.772mil","T","360.00","20pF"
"C8","CAPC1608N","409.449mil","1326.772mil","409.449mil","1326.772mil","440.945mil","1326.772mil","T","180.00","20pF"
"C9","CAPC2012N","55.118mil","952.756mil","55.118mil","952.756mil","55.118mil","996.063mil","T","270.00","10uF 4V"
"C10","CAPC1608N","129.921mil","944.882mil","129.921mil","944.882mil","129.921mil","976.378mil","T","270.00","1uF 4V"
"C11","CAPC2012N","1326.772mil","906.299mil","1326.772mil","906.299mil","1326.772mil","862.992mil","T","90.00","10uF 6.3V"
"C12","CAPC2012N","1476.378mil","1496.85mil","1476.378mil","1496.85mil","1476.378mil","1453.543mil","T","90.00","10uF 6.3V"
"C13","CAPC2012N","1279.528mil","1311.024mil","1279.528mil","1311.024mil","1322.835mil","1311.024mil","T","180.00","10uF 4V"
"C14","CAPC1608N","1145.669mil","1201.575mil","1145.669mil","1201.575mil","1145.669mil","1170.079mil","T","90.00","1uF 4V"
"C15","CAPC1608N","956.693mil","1201.575mil","956.693mil","1201.575mil","956.693mil","1170.079mil","T","90.00","100nF"
"D1_LED0","LED_0805","1561.023mil","2149.606mil","1561.023mil","2149.606mil","1561.023mil","2112.205mil","T","90.00","Led Bleue"
"D1_LED1","LED_0805","1307.087mil","2149.606mil","1307.087mil","2149.606mil","1307.087mil","2112.205mil","T","90.00","Led Bleue"
"D1_LED2","LED_0805","379.921mil","2149.606mil","379.921mil","2149.606mil","379.921mil","2112.205mil","T","90.00","Led Bleue"
"D1_LED3","LED_0805","167.322mil","2149.606mil","167.322mil","2149.606mil","167.322mil","2112.205mil","T","90.00","Led Bleue"
"D2","SMA/DO-214AC_21","1499.999mil","863.7mil","1500mil","862.992mil","1499.999mil","782.991mil","T","270.00","GF1A"
"D3","SMA/DO-214AC_21","1157.479mil","863.7mil","1157.48mil","862.992mil","1157.479mil","782.991mil","T","270.00","GF1A"
"D4","LED_0805","1007.874mil","847.244mil","1007.874mil","847.244mil","1007.874mil","884.646mil","T","270.00","Led Verte"
"FB1","INDC1608AN","1051.181mil","1233.071mil","1051.181mil","1233.071mil","1080.708mil","1233.071mil","T","180.00","600r"
"J1","RJ12_90","294.488mil","261.811mil","169.291mil","437.008mil","169.291mil","437.008mil","T","0.00","Program / Debug"
"P1","PHOENIX_1985195","1450.787mil","532.284mil","1519.685mil","433.858mil","1519.685mil","433.858mil","T","0.00","12V Main"
"P2","PHOENIX_1985195","1088.583mil","532.284mil","1157.48mil","433.858mil","1157.48mil","433.858mil","T","0.00","12V Battery"
"R1","PDB181-K415K-102A2","795.276mil","2153.543mil","795.276mil","2153.543mil","992.126mil","2153.543mil","T","180.00","1K"
"R2_LED0","RESC1608N","1562.992mil","2015.748mil","1562.992mil","2015.748mil","1562.992mil","2049.212mil","T","270.00","330r"
"R2_LED1","RESC1608N","1309.055mil","2015.748mil","1309.055mil","2015.748mil","1309.055mil","2049.212mil","T","270.00","330r"
"R2_LED2","RESC1608N","381.889mil","2015.748mil","381.889mil","2015.748mil","381.889mil","2049.212mil","T","270.00","330r"
"R2_LED3","RESC1608N","169.291mil","2015.748mil","169.291mil","2015.748mil","169.291mil","2049.212mil","T","270.00","330r"
"R3","RESC1608N","358.268mil","586.614mil","358.268mil","586.614mil","324.803mil","586.614mil","T","0.00","4.7k"
"R4","RESC1608N","1007.874mil","985.039mil","1007.874mil","985.039mil","1007.874mil","951.575mil","T","90.00","470r"
"U1","QFP50P1200X1200X120-64","444.882mil","901.575mil","444.882mil","901.575mil","297.244mil","677.953mil","T","360.00","PIC32MX764F128H-I/PT"
"U2","TD03B_N","1242.126mil","1508.661mil","1192.913mil","1508.661mil","1364.173mil","1418.898mil","T","180.00","AP1117"
"Y1","HC49/4H_SMX_CRYSTAL","460.63mil","1476.378mil","460.63mil","1476.378mil","283.463mil","1476.378mil","T","360.00","8MHz"

